user,interface,topic,queries,snippets,snippets_per_query,clicked,clicked_per_query,saved,saved_rel,pat10,accuracy,sessiontime,first click,first save,start time mean,query time mean,task time mean,serp time mean,snippet time mean,doc time mean,mark time mean,review time mean,end time mean,session_transition_dict
01d2e9c8a6593c8b8d8ad150ed238b4f,none,341,6.0,45.0,7.5,11.0,1.8333333333333333,8.0,6.0,0.9083333333333332,0.75,332.6299999999999,19.87,59.77,1.81,7.138333333333333,13.16,1.052941176470588,1.4192857142857145,16.41,1.5628571428571427,10.765,18.3,"{'START': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'QUERY': {'START': 0, 'QUERY': 0, 'TASK': 1, 'SERP': 2, 'SNIPPET': 3, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'TASK': {'START': 1, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'SERP': {'START': 0, 'QUERY': 6, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 3, 'MARK': 7, 'REVIEW': 1, 'END': 0}, 'SNIPPET': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 14, 'SNIPPET': 31, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'DOC': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 11, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'MARK': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 8, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'REVIEW': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 1, 'SNIPPET': 0, 'DOC': 0, 'MARK': 1, 'REVIEW': 0, 'END': 0}, 'END': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 1, 'END': 0}}"
01d2e9c8a6593c8b8d8ad150ed238b4f,recs,347,5.0,57.0,11.4,10.0,2.0,6.0,4.0,0.6083333333333333,0.6666666666666666,387.14,32.95,55.68000000000001,3.75,10.142,17.61,2.8242857142857147,1.520181818181818,19.314444444444444,6.095999999999999,9.34,16.37,"{'START': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'QUERY': {'START': 0, 'QUERY': 0, 'TASK': 1, 'SERP': 3, 'SNIPPET': 1, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'TASK': {'START': 1, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'SERP': {'START': 0, 'QUERY': 5, 'TASK': 0, 'SERP': 0, 'SNIPPET': 1, 'DOC': 3, 'MARK': 5, 'REVIEW': 0, 'END': 0}, 'SNIPPET': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 11, 'SNIPPET': 46, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'DOC': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 9, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'MARK': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 6, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'REVIEW': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 1, 'REVIEW': 1, 'END': 0}, 'END': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 1, 'MARK': 0, 'REVIEW': 0, 'END': 0}}"
01d2e9c8a6593c8b8d8ad150ed238b4f,ads,363,6.0,104.0,17.333333333333332,11.0,1.8333333333333333,6.0,6.0,0.6597222222222222,1.0,381.79999999999984,22.66,38.71,4.0,4.801666666666667,7.41,1.12,1.3868041237113402,14.719090909090909,1.356666666666667,8.615,14.82,"{'START': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'QUERY': {'START': 0, 'QUERY': 0, 'TASK': 1, 'SERP': 2, 'SNIPPET': 3, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'TASK': {'START': 1, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'SERP': {'START': 0, 'QUERY': 6, 'TASK': 0, 'SERP': 0, 'SNIPPET': 3, 'DOC': 5, 'MARK': 6, 'REVIEW': 1, 'END': 0}, 'SNIPPET': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 18, 'SNIPPET': 86, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'DOC': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 11, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'MARK': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 6, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'REVIEW': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 1, 'SNIPPET': 1, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'END': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 1, 'END': 0}}"
01d2e9c8a6593c8b8d8ad150ed238b4f,links,408,4.0,22.0,5.5,8.0,2.0,7.0,5.0,0.7875,0.7142857142857143,259.34,22.05,42.99,3.03,7.9575,12.93,2.547692307692308,1.7136363636363634,16.01875,4.307142857142857,14.01,4.06,"{'START': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'QUERY': {'START': 0, 'QUERY': 0, 'TASK': 1, 'SERP': 3, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'TASK': {'START': 1, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'SERP': {'START': 0, 'QUERY': 4, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 1, 'MARK': 7, 'REVIEW': 1, 'END': 0}, 'SNIPPET': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 8, 'SNIPPET': 14, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'DOC': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 8, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'MARK': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 7, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'REVIEW': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 1, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'END': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 1, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}}"
0587fdba3916671884f55f8883f585c5,links,341,7.0,73.0,10.428571428571429,7.0,1.0,7.0,4.0,0.6904761904761906,0.5714285714285714,632.43,18.07,19.95,3.17,9.572857142857144,8.8,2.5626666666666664,1.7426865671641791,8.924285714285713,51.31571428571429,,3.1,"{'START': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'QUERY': {'START': 0, 'QUERY': 0, 'TASK': 1, 'SERP': 2, 'SNIPPET': 4, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'TASK': {'START': 1, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'SERP': {'START': 0, 'QUERY': 7, 'TASK': 0, 'SERP': 0, 'SNIPPET': 1, 'DOC': 0, 'MARK': 7, 'REVIEW': 0, 'END': 0}, 'SNIPPET': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 13, 'SNIPPET': 60, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'DOC': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 7, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'MARK': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 7, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'REVIEW': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'END': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 1, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}}"
0587fdba3916671884f55f8883f585c5,ads,347,1.0,27.0,27.0,5.0,5.0,5.0,4.0,0.9,0.8,313.87,34.75,36.0,2.13,21.07,21.07,0.7283333333333334,1.3507692307692307,21.668,27.878,,3.24,"{'START': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'QUERY': {'START': 0, 'QUERY': 0, 'TASK': 1, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'TASK': {'START': 1, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'SERP': {'START': 0, 'QUERY': 1, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 5, 'REVIEW': 0, 'END': 0}, 'SNIPPET': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 6, 'SNIPPET': 21, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'DOC': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 5, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'MARK': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 5, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'REVIEW': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'END': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 1, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}}"
0587fdba3916671884f55f8883f585c5,recs,363,5.0,83.0,16.6,3.0,0.6,3.0,2.0,0.7847619047619048,0.6666666666666666,354.45999999999987,21.25,23.75,1.85,12.286,8.06,4.311538461538462,2.004933333333333,6.013333333333333,24.3,,3.51,"{'START': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'QUERY': {'START': 0, 'QUERY': 0, 'TASK': 1, 'SERP': 2, 'SNIPPET': 2, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'TASK': {'START': 1, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'SERP': {'START': 0, 'QUERY': 5, 'TASK': 0, 'SERP': 0, 'SNIPPET': 5, 'DOC': 0, 'MARK': 3, 'REVIEW': 0, 'END': 0}, 'SNIPPET': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 11, 'SNIPPET': 72, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'DOC': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 3, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'MARK': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 3, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'REVIEW': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'END': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 1, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}}"
0587fdba3916671884f55f8883f585c5,none,408,12.0,162.0,13.5,13.0,1.0833333333333333,13.0,7.0,0.5365079365079366,0.5384615384615384,952.5999999999996,25.59,27.07,7.08,6.6308333333333325,13.515,1.746206896551724,2.1014765100671142,4.936923076923078,5.329166666666667,29.890000000000004,62.05,"{'START': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'QUERY': {'START': 1, 'QUERY': 0, 'TASK': 0, 'SERP': 2, 'SNIPPET': 9, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'TASK': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 1, 'DOC': 0, 'MARK': 1, 'REVIEW': 0, 'END': 0}, 'SERP': {'START': 0, 'QUERY': 12, 'TASK': 1, 'SERP': 0, 'SNIPPET': 2, 'DOC': 0, 'MARK': 12, 'REVIEW': 2, 'END': 0}, 'SNIPPET': {'START': 0, 'QUERY': 0, 'TASK': 1, 'SERP': 26, 'SNIPPET': 135, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'DOC': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 14, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'MARK': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 13, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'REVIEW': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 1, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 7, 'END': 0}, 'END': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 1, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}}"
059711a17689e6b81dd62637f96bae32,recs,341,3.0,50.0,16.666666666666668,16.0,5.333333333333333,14.0,11.0,0.75,0.7857142857142857,297.43,55.38,83.66000000000001,4.14,9.963333333333331,4.896666666666667,5.9390909090909085,1.394893617021277,1.6686666666666667,0.7935714285714285,21.06,21.06,"{'START': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'QUERY': {'START': 1, 'QUERY': 0, 'TASK': 0, 'SERP': 1, 'SNIPPET': 1, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'TASK': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 1, 'SNIPPET': 1, 'DOC': 1, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'SERP': {'START': 0, 'QUERY': 3, 'TASK': 1, 'SERP': 3, 'SNIPPET': 0, 'DOC': 1, 'MARK': 14, 'REVIEW': 0, 'END': 0}, 'SNIPPET': {'START': 0, 'QUERY': 0, 'TASK': 2, 'SERP': 17, 'SNIPPET': 31, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'DOC': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 16, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'MARK': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 14, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'REVIEW': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 1, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'END': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 1, 'END': 0}}"
059711a17689e6b81dd62637f96bae32,none,347,3.0,27.0,9.0,8.0,2.6666666666666665,8.0,8.0,0.95,1.0,219.61,22.2,39.67,4.29,7.04,1.8,5.5200000000000005,2.335217391304348,4.45125,3.3725000000000005,6.04,6.04,"{'START': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'QUERY': {'START': 1, 'QUERY': 0, 'TASK': 0, 'SERP': 1, 'SNIPPET': 1, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'TASK': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 1, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'SERP': {'START': 0, 'QUERY': 3, 'TASK': 0, 'SERP': 1, 'SNIPPET': 2, 'DOC': 0, 'MARK': 8, 'REVIEW': 0, 'END': 0}, 'SNIPPET': {'START': 0, 'QUERY': 0, 'TASK': 1, 'SERP': 11, 'SNIPPET': 15, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'DOC': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 8, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'MARK': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 8, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'REVIEW': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 1, 'DOC': 0, 'MARK': 0, 'REVIEW': 0, 'END': 0}, 'END': {'START': 0, 'QUERY': 0, 'TASK': 0, 'SERP': 0, 'SNIPPET': 0, 'DOC': 0, 'MARK': 0, 'REVIEW': 1, 'END': 0}}"
