user,pscat,cfcat,agecat,ofcat,sfcat,bfcat
01d2e9c8a6593c8b8d8ad150ed238b4f,highps,lowcf,lowage,highof,lowsf,lowbf
0587fdba3916671884f55f8883f585c5,highps,lowcf,highage,highof,highsf,highbf
059711a17689e6b81dd62637f96bae32,highps,highcf,lowage,highof,highsf,lowbf
05e5ad5dc1a48b5a29f47468c25194b3,highps,highcf,lowage,lowof,highsf,lowbf
064dc5c627549041e1e56dd32154fec0,lowps,highcf,lowage,highof,lowsf,lowbf
09982b54bc7948bc9e2d1c6927ea70e9,lowps,highcf,highage,highof,highsf,lowbf
0d1f4eb86d66d1ab5cf23dfa6f6f3ba0,lowps,lowcf,highage,lowof,lowsf,lowbf
12ece3ebcda034b5c6e323202844a351,lowps,lowcf,lowage,lowof,highsf,lowbf
18324c48bfdca57377e182408050837a,highps,lowcf,lowage,highof,lowsf,lowbf
18e4318aa0d354f26ed74e6c42dd4c58,lowps,highcf,lowage,lowof,lowsf,lowbf
1a467039f73e3ab943edeeda289679a2,lowps,highcf,highage,lowof,lowsf,lowbf
1a4c21139e21ea7346049442348933ed,lowps,lowcf,lowage,highof,lowsf,lowbf
21a4fa50a4320770b6d6d0904c8d10d4,lowps,lowcf,lowage,highof,lowsf,lowbf
247384e4eccc4f800dfda0d09d8cdae5,highps,lowcf,lowage,highof,highsf,lowbf
27d1f78bb4a21a96c5cff96f5d45b726,highps,lowcf,highage,lowof,highsf,highbf
28e5159bba0001a6c8f54929325fcb42,highps,highcf,highage,highof,lowsf,lowbf
2eeca51da345ccf0f80aca0dd61ad79e,highps,highcf,highage,highof,lowsf,lowbf
2fe33d03a245d23f6be88e38da6895bb,highps,highcf,highage,highof,lowsf,lowbf
3203f436ab6577d5c1c4e17ced82896f,lowps,lowcf,lowage,lowof,lowsf,lowbf
325c85a825514506e70e336cc5ec0814,highps,lowcf,highage,highof,lowsf,highbf
33e8900bf7a0f0988de30218a70683f6,lowps,highcf,highage,highof,highsf,lowbf
34567234d11d6f3780de56e80c82e90c,lowps,highcf,highage,lowof,lowsf,highbf
3a55674ce3461c1c277c1e3e5df4923e,lowps,lowcf,lowage,lowof,lowsf,lowbf
3c60c8fa54d15bbed0827681ef925889,,lowcf,highage,highof,lowsf,lowbf
3cf43176d5074a75c77ea1965d166836,lowps,lowcf,lowage,highof,lowsf,lowbf
43dd87114012b5e35d0773ab02cf1e74,lowps,highcf,lowage,highof,lowsf,lowbf
4407870831b75382a897e3963406ee0d,lowps,lowcf,lowage,lowof,lowsf,lowbf
452e4cb3af842f344f9b2adaf4e678f6,lowps,highcf,lowage,highof,lowsf,lowbf
45915ad20500293458fd7caca706c817,lowps,lowcf,lowage,highof,lowsf,lowbf
45e397ad2bf38d64365d53b3f6dba1a4,highps,lowcf,lowage,lowof,highsf,lowbf
49f17772e8cba25ae242a6fdedcabfd3,lowps,lowcf,lowage,highof,highsf,highbf
4da723374193f001e5f9a15ff4981133,highps,lowcf,lowage,highof,highsf,lowbf
4e519a5d4507262622f7aa0d926300c7,lowps,lowcf,highage,highof,highsf,lowbf
4ea92984f029cf9968cb3f7d3f1f5ae1,lowps,lowcf,lowage,highof,highsf,highbf
4f7ec17e98372820bec7051d1e39ab54,lowps,lowcf,lowage,highof,highsf,lowbf
52017ab25d75e9f36f5700c034fb0bb3,highps,lowcf,lowage,highof,highsf,highbf
535bfaf49f6ff4c5ed8fd801567797df,lowps,lowcf,highage,lowof,lowsf,lowbf
54da90a7fb66d86a3ac37fb4493c8b2c,lowps,lowcf,lowage,highof,lowsf,
6012f77744564f1c8d817413fd2bf9fe,lowps,lowcf,highage,highof,highsf,highbf
